strategy,trades,wins,win_pct,gross_pnl,charges,net_pnl,avg_win,avg_loss,rr,edge_per_trade,verdict
play2_triple_ma,13,8,61.5,1411.47,163.32,1248.15,279.45,-197.49,1.42,96.01,WINNER
play1_ema_crossover,13,9,69.2,741.48,157.32,584.16,151.47,-194.77,0.78,44.94,WINNER
play6_bb_contra,2,2,100.0,158.5,25.31,133.19,66.6,0,0,66.59,WINNER
play5_bb_squeeze,4,3,75.0,174.0,52.05,121.95,47.73,-21.25,2.25,30.49,WINNER
play8_rsi_divergence,2,1,50.0,-42.55,27.37,-69.92,93.09,-163.01,0.57,-34.96,LOSER
play7_orb,106,55,51.9,951.83,1380.66,-428.83,144.48,-164.23,0.88,-4.05,LOSER
play4_supertrend,7,2,28.6,-505.25,85.59,-590.84,202.5,-199.17,1.02,-84.41,LOSER
winning_horse,13,7,53.8,-996.25,163.19,-1159.44,87.18,-294.95,0.3,-89.19,LOSER
play10_momentum_rank,67,31,46.3,-1610.52,858.75,-2469.27,158.98,-205.49,0.77,-36.85,LOSER
play3_vwap_pullback,80,35,43.8,-2119.22,1041.23,-3160.45,138.31,-177.81,0.78,-39.51,LOSER
play9_gap_analysis,62,24,38.7,-3270.2,808.55,-4078.75,160.02,-208.4,0.77,-65.79,LOSER
